what,kind,bundleId,bundleVersion,description,time
opened,editor,org.eclipse.wst.html.ui,1.0.602.v201202091936,"org.eclipse.wst.html.core.htmlsource.source",1389376684477
activated,editor,org.eclipse.wst.html.ui,1.0.602.v201202091936,"org.eclipse.wst.html.core.htmlsource.source",1389376684496
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1389376684514
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1389376690024
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1389376731885
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1389376733843
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1389376742488
activated,editor,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1389376744397
activated,editor,org.eclipse.wst.html.ui,1.0.602.v201202091936,"org.eclipse.wst.html.core.htmlsource.source",1389376747612
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1389376749189
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1389376749761
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.lineEnd",1389376771562
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1389376788945
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1389376792132
activated,view,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui.PackageExplorer",1389376797696
activated,editor,org.eclipse.wst.html.ui,1.0.602.v201202091936,"org.eclipse.wst.html.core.htmlsource.source",1389376805708
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1389376815700
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.lineEnd",1389376816462
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1389376835949
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.lineEnd",1389376837442
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1389376839299
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1389376843185
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1389376852387
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1389376864591
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.lineEnd",1389376873151
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1389376877116
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1389376879648
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.lineEnd",1389376881980
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.lineEnd",1389376908168
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1389376916227
activated,editor,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1389376918306
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1389376920129
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1389376926238
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.lineEnd",1389376940205
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.deletePreviousWord",1389376949449
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.deletePreviousWord",1389376949648
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.deletePreviousWord",1389376949879
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.lineEnd",1389377036045
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.lineEnd",1389377036304
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.lineEnd",1389377050700
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1389377053460
activated,editor,org.eclipse.wst.html.ui,1.0.602.v201202091936,"org.eclipse.wst.html.core.htmlsource.source",1389377067228
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.lineEnd",1389377077338
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1389377092764
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1389377094071
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1389377150700
activated,view,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui.PackageExplorer",1389377152860
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1389377160672
opened,editor,org.eclipse.wst.css.ui,1.0.601.v201201101544,"org.eclipse.wst.css.core.csssource.source",1389377163618
activated,editor,org.eclipse.wst.css.ui,1.0.601.v201201101544,"org.eclipse.wst.css.core.csssource.source",1389377163643
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1389377163660
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1389377167917
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1389377181422
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.select.lineStart",1389377195243
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1389377196710
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.lineEnd",1389377198446
activated,editor,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1389377202436
activated,editor,org.eclipse.wst.html.ui,1.0.602.v201202091936,"org.eclipse.wst.html.core.htmlsource.source",1389377203633
activated,editor,org.eclipse.wst.css.ui,1.0.601.v201201101544,"org.eclipse.wst.css.core.csssource.source",1389377209264
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1389377224001
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1389377226908
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1389377229678
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1389377230600
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1389377243346
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1389377244664
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1389377252001
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1389377255945
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1389377268338
activated,editor,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1389377268450
activated,editor,org.eclipse.wst.html.ui,1.0.602.v201202091936,"org.eclipse.wst.html.core.htmlsource.source",1389377269653
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1389377274331
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1389377281308
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1389377303371
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1389377303913
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1389377305576
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1389377305815
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1389377509561
started,bundle,org.eclipse.wst.server.core,1.1.304.v20120208_1420,"org.eclipse.wst.server.core",1389377511864
started,bundle,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui",1389377512047
started,bundle,org.eclipse.wst.web,1.1.501.v201201190400,"org.eclipse.wst.web",1389377512267
opened,editor,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1389377520370
activated,editor,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1389377520622
executed,command,org.eclipse.wst.sse.ui,1.3.2.v201201041522,"org.eclipse.wst.sse.ui.open.file.from.source",1389377520635
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1389377589519
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1389377725431
